station,date,t_avg,dew_point,wet_bulb,precip_total,stn_pressure,sea_level,result_speed,result_dir,avg_speed,wet_dry,week,month,year,year_month,year_week
1,2007-05-01,67.0,51,56.0,0.0,29.1,29.82,1.7,27,9.2,0,18,5,2007,20075,200718
2,2007-05-01,68.0,51,57.0,0.0,29.18,29.82,2.7,25,9.6,0,18,5,2007,20075,200718
1,2007-05-02,51.0,42,47.0,0.0,29.38,30.09,13.0,4,13.4,1,18,5,2007,20075,200718
2,2007-05-02,52.0,42,47.0,0.0,29.44,30.08,13.3,2,13.4,1,18,5,2007,20075,200718
1,2007-05-03,56.0,40,48.0,0.0,29.39,30.12,11.7,7,11.9,0,18,5,2007,20075,200718
2,2007-05-03,58.0,40,50.0,0.0,29.46,30.12,12.9,6,13.2,0,18,5,2007,20075,200718
1,2007-05-04,58.0,41,50.0,0.005,29.31,30.05,10.4,8,10.8,1,18,5,2007,20075,200718
2,2007-05-04,64.5,42,50.0,0.0,29.36,30.04,10.1,7,10.4,0,18,5,2007,20075,200718
1,2007-05-05,60.0,38,49.0,0.005,29.4,30.1,11.7,7,12.0,0,18,5,2007,20075,200718
2,2007-05-05,60.0,39,50.0,0.005,29.46,30.09,11.2,7,11.5,0,18,5,2007,20075,200718
1,2007-05-06,59.0,30,46.0,0.0,29.57,30.29,14.4,11,15.0,0,18,5,2007,20075,200718
2,2007-05-06,60.0,30,46.0,0.0,29.62,30.28,13.8,10,14.5,0,18,5,2007,20075,200718
1,2007-05-07,65.0,41,54.0,0.005,29.38,30.12,8.6,18,10.5,1,19,5,2007,20075,200719
2,2007-05-07,67.0,39,53.0,0.0,29.44,30.12,8.5,17,9.9,0,19,5,2007,20075,200719
1,2007-05-08,68.0,58,62.0,0.0,29.29,30.03,2.7,11,5.8,1,19,5,2007,20075,200719
2,2007-05-08,70.0,57,63.0,0.005,29.36,30.02,2.5,8,5.4,0,19,5,2007,20075,200719
